System,Utterance,H:overall,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
87,M0,1.6666666666666667,-0.0406082345348614,0.20719455464421066,0.07547169811320754,0.08333333333333333,-0.6931471805599452,-0.6931471805599453,0.07547169811320754,0.07547169811320754,0.0,6.567274736060395,0.1259576768382916,0.5370646715164185,0.07855385038780176
87,M1,1.0,-0.050368916904100725,0.20763830637824765,0.07547169811320754,0.0625,-0.6931471805599452,-0.6931471805599452,0.07547169811320754,0.07547169811320754,0.0,4.990049701936832,0.1412919107150543,0.56841641664505,0.09236161695148419
87,M2,1.0,-0.006980463192198583,0.23149488914706895,0.18867924528301888,0.0625,-0.6931471805599452,-0.6931471805599453,0.18867924528301888,0.18867924528301888,0.0,3.0272532566104675,0.12756529660220747,0.5521612763404846,0.05328687554460707
87,M3,1.0,0.07088170191574927,0.289677870476293,0.22641509433962265,0.10416666666666667,-0.6486793845692699,-0.6622339096130657,0.20754716981132076,0.22641509433962265,0.0625,8.606119900909883,0.15772300124613672,0.5973430275917053,0.11292081444347161
87,M4,1.6666666666666667,0.035113015375399015,0.2591994760762871,0.18867924528301888,0.08333333333333333,-0.6445968822199012,-0.6776905450865056,0.18867924528301888,0.18867924528301888,0.020833333333333332,8.516593018819643,0.15764296072244943,0.5812619924545288,0.07832344218782213
87,M5,1.0,0.015268704692408708,0.2521621509308116,0.22641509433962265,0.0625,-0.6931471805599452,-0.6931471805599454,0.2075471698113208,0.22641509433962265,0.020833333333333332,6.437165254072419,0.16484748917036843,0.5872560739517212,0.07506186664897656
87,M6,1.3333333333333333,0.08034542973736225,0.27547259601195995,0.32075471698113206,0.10416666666666667,-0.6931471805599452,-0.6931471805599452,0.24528301886792453,0.32075471698113206,0.020833333333333332,6.019608768705656,0.14170592599266238,0.5727222561836243,0.07785400952880579
87,M7,1.3333333333333333,0.1497461884730047,0.30544788754755914,0.24528301886792453,0.16666666666666666,-0.5903969850104551,-0.6776905450865056,0.24528301886792453,0.2641509433962264,0.020833333333333332,9.263986277915475,0.1799778088414934,0.6550465822219849,0.22351776212667085
88,M0,1.3333333333333333,-0.0792861461048241,0.19454356152281171,0.05660377358490566,0.041666666666666664,-0.6931471805599452,-0.6931471805599452,0.03773584905660377,0.03773584905660377,0.0,5.795599612995366,0.1102782285875284,0.6564702391624451,0.16946484998079
88,M1,1.0,0.09226613202748912,0.2748610052241006,0.16981132075471697,0.16666666666666666,-0.6547221531495614,-0.6931471805599454,0.16981132075471697,0.2075471698113208,0.020833333333333332,6.608973813188645,0.1874349639946366,0.5913055539131165,0.1069213425520065
88,M2,1.6666666666666667,-0.10233404016262426,0.1960609816786364,0.0,0.0,-0.6931471805599452,-0.6931471805599452,0.0,0.0,0.0,8.116697886877475,0.08713592985465612,0.5613507032394409,0.002543860144938548
88,M3,1.3333333333333333,0.1573607941160584,0.33400747296498934,0.2830188679245283,0.16666666666666666,-0.6131499507173206,-0.6628303781779185,0.2641509433962264,0.2830188679245283,0.08333333333333333,9.46120284397968,0.24799771580959312,0.5966588854789734,0.12485905962130454
88,M4,2.0,-0.08185948822127609,0.20183609379397482,0.03773584905660377,0.020833333333333332,-0.6931471805599452,-0.6931471805599452,0.03773584905660377,0.03773584905660377,0.0,4.069582841180382,0.13124055550555355,0.5613635182380676,0.04838857404541772
88,M5,1.0,0.09375253725136257,0.2617176260277867,0.2641509433962264,0.18750000000000003,-0.6931471805599452,-0.6931471805599452,0.20754716981132076,0.2641509433962264,0.020833333333333332,9.00746750211399,0.13257002805144377,0.6270135641098022,0.1669080343646972
88,M6,1.0,-0.08240376979267405,0.2104707003592885,0.018867924528301886,0.0,-0.6651050277678929,-0.6931471805599452,0.018867924528301886,0.018867924528301886,0.0,10.400597689005304,0.15957058436298885,0.5497339963912964,-0.003224391061818399
88,M7,3.3333333333333335,0.31046795937051297,0.4384450927771938,0.33962264150943394,0.20833333333333334,-0.4940215569099283,-0.5972136214249777,0.3018867924528302,0.3584905660377358,0.125,33.56891925037239,0.12471903142469315,0.6597747802734375,0.26300474142675523
89,M0,1.0,0.01006991675279012,0.25323683294683474,0.13043478260869565,0.046875,-0.6076210657629408,-0.6931471805599452,0.13043478260869565,0.13043478260869565,0.0,3.9297193407553004,0.19176537373793132,0.5442953109741211,0.07655322230135267
89,M1,1.6666666666666667,-0.0379449551053509,0.2161977920814403,0.15942028985507245,0.046875,-0.6561334318467049,-0.6931471805599452,0.11594202898550725,0.11594202898550725,0.0,5.300156689756295,0.15408010157020124,0.5945960879325867,0.20193030693598385
89,M2,2.0,-0.03774064258620602,0.2191976419249494,0.13043478260869565,0.046875,-0.6931471805599453,-0.6931471805599452,0.13043478260869565,0.13043478260869565,0.0,6.567274736060395,0.09341175362863681,0.5815759897232056,0.16717317526974326
89,M3,1.6666666666666667,0.019502375704673836,0.24184155782991523,0.15942028985507245,0.125,-0.6931471805599453,-0.6931471805599452,0.15942028985507245,0.15942028985507245,0.03125,7.52885143038073,0.1589400782672524,0.6108192205429077,0.1842409468742356
89,M4,1.0,-0.10777339137341857,0.19095185461660635,0.014492753623188406,0.0,-0.6931471805599453,-0.6931471805599452,0.0,0.0,0.0,3.3864985683445354,0.12068715988180141,0.566635012626648,0.13657923247099635
89,M5,1.0,-0.10777339137341857,0.19095185461660635,0.014492753623188406,0.0,-0.6931471805599453,-0.6931471805599452,0.0,0.0,0.0,1.7820934647025712,0.07146731558358019,0.5202521085739136,-0.005156463789843646
89,M6,1.0,-0.03709012061910533,0.2211033978993151,0.10144927536231885,0.0625,-0.6931471805599452,-0.6931471805599452,0.10144927536231885,0.10144927536231885,0.015625,8.913765521398126,0.11804204880494795,0.5743834376335144,0.14298022320137826
89,M7,2.3333333333333335,0.05354570513024237,0.2824872100891329,0.17391304347826086,0.0625,-0.587435557997193,-0.6590189132189591,0.17391304347826086,0.17391304347826086,0.03125,11.044795567078939,0.11843699095048149,0.6163818836212158,0.2125271246990513
90,M0,1.3333333333333333,-0.05873366132634261,0.2212285101795235,0.1320754716981132,0.0,-0.6931471805599452,-0.6931471805599452,0.1320754716981132,0.1320754716981132,0.0,4.789232204309912,0.1319065416313518,0.5359585881233215,0.028230122794571644
90,M1,1.0,-0.01994244953480384,0.21872481145219114,0.1320754716981132,0.08333333333333333,-0.6931471805599452,-0.6931471805599452,0.11320754716981132,0.1320754716981132,0.0,4.789232204309912,0.13838829678348352,0.5413429737091064,0.07039178803434709
90,M2,1.6666666666666667,0.14096545135314176,0.3181669742432168,0.2641509433962264,0.125,-0.5690734229543419,-0.6581273101992838,0.18867924528301888,0.2641509433962264,0.041666666666666664,4.274580923189599,0.15763313288331576,0.5541101694107056,0.08909610205227605
90,M3,1.3333333333333333,0.04721755223898694,0.24718106829124598,0.20754716981132076,0.14583333333333334,-0.6931471805599452,-0.6931471805599452,0.1320754716981132,0.20754716981132076,0.020833333333333332,8.91376552139813,0.10308235227509512,0.5466116666793823,0.046099446867987635
90,M4,1.6666666666666667,-0.039385765332658806,0.2297799834189993,0.07547169811320754,0.0625,-0.6931471805599452,-0.6931471805599452,0.07547169811320754,0.07547169811320754,0.041666666666666664,12.22307556087252,0.08014835001391382,0.5033512115478516,0.03439240840809932
90,M5,1.3333333333333333,0.10451356066230477,0.29943948242437,0.18867924528301888,0.125,-0.5690734229543419,-0.6559003479921829,0.18867924528301888,0.18867924528301888,0.041666666666666664,7.1933868327348085,0.21446495778261515,0.5668689012527466,0.1182624483387172
90,M6,1.3333333333333333,-0.0025895179633923515,0.22249930851067323,0.1509433962264151,0.10416666666666667,-0.6931471805599452,-0.6931471805599452,0.1509433962264151,0.1509433962264151,0.0,3.6570159134143823,0.11024947700412405,0.5150151252746582,0.03735819068924502
90,M7,1.6666666666666667,0.05977663713621373,0.28033794192955674,0.1509433962264151,0.08333333333333333,-0.6243052794495398,-0.6799360239586094,0.1509433962264151,0.18867924528301888,0.020833333333333332,4.444587794585869,0.2435652386507098,0.6014567613601685,0.20898397001241747
91,M0,2.0,0.06021463684204731,0.27656094212462823,0.21052631578947364,0.09615384615384616,-0.6363292266878494,-0.6678749336797212,0.19298245614035087,0.21052631578947364,0.038461538461538464,6.471074162236759,0.2151871204260043,0.6711162328720093,0.24297897161531204
91,M1,2.6666666666666665,0.3876536784948914,0.49078884652024324,0.38596491228070173,0.25,-0.48684203830692085,-0.6088762873445044,0.3508771929824561,0.42105263157894735,0.15384615384615385,23.684767130057967,0.2997637751699127,0.7089889645576477,0.33254906149085983
91,M2,1.0,0.013721591626377316,0.2470392533909903,0.10526315789473684,0.07692307692307693,-0.6088430784617425,-0.6931471805599452,0.08771929824561403,0.10526315789473684,0.0,5.522397783539471,0.14513201986269336,0.6347991824150085,0.16156625856905368
91,M3,1.0,-0.011354271164842111,0.24627868322265722,0.15789473684210525,0.057692307692307696,-0.6931471805599453,-0.6931471805599452,0.12280701754385963,0.15789473684210525,0.038461538461538464,7.574347133041985,0.20467346476985565,0.6510995030403137,0.17615797906189892
91,M4,2.0,0.15000677722123612,0.3165449347304695,0.22807017543859648,0.15384615384615385,-0.5470888862535012,-0.6560364957080285,0.19298245614035087,0.22807017543859648,0.038461538461538464,11.044795567078939,0.16709732445073938,0.7251551747322083,0.31491900192597966
91,M5,1.3333333333333333,0.1335886650152449,0.31342831676987637,0.3333333333333333,0.1346153846153846,-0.6557543094228498,-0.6688063848371604,0.2982456140350877,0.3333333333333333,0.057692307692307696,5.983278752571241,0.1792680298468704,0.5455716252326965,0.010778146988094784
91,M6,1.3333333333333333,0.05590701279259258,0.2792747602943293,0.22807017543859648,0.07692307692307693,-0.6420001217492282,-0.6714931311814683,0.21052631578947364,0.22807017543859648,0.038461538461538464,16.01779399560403,0.3838091743296237,0.6987521052360535,0.26630339897220556
91,M7,3.0,0.30184983894436135,0.43972950978208303,0.3684210526315789,0.23076923076923078,-0.5398171617723231,-0.6011761256067494,0.3508771929824561,0.3684210526315789,0.15384615384615385,26.130226596777135,0.22954654480636044,0.6837403178215027,0.3362194131719166
92,M0,2.6666666666666665,0.05972364797712504,0.27922460297676244,0.14705882352941177,0.06896551724137931,-0.590553539409131,-0.6931471805599452,0.14705882352941177,0.17647058823529413,0.0,4.368583925857938,0.16401459459966383,0.5772771835327148,0.10265935025222026
