System,Utterance,H:mlqe,XBERTScore,XMoverScore (UMD),XMoverScore (CLP),Unsupervised XMoverScore,Unsupervised ContrastScore,Unsupervised XmoverScore + ContrastScore,Fine-tuned XMoverScore,Fine-tuned ContrastScore,Fine-tuned XMoverScore + ContrastScore
4,en-de,-0.589530766139046,0.7166435718536377,-1.1935698752481536,-1.1935698752481536,-1.3396171131776162,0.8641699552536011,-0.4581022560596466,-0.8930404080633587,0.9100849032402039,-0.17179027199745178
4,en-zh,0.019875349560847355,0.326852411031723,-1.4524175281762064,-1.4524175281762064,-1.3522066071616998,0.8318716287612915,-0.47857528924942017,-1.0649233044772002,0.8221575617790222,-0.31009095907211304
4,ru-en,0.7794865414655162,0.5754939913749695,-1.4493342462816974,-1.4493342462816974,-1.3817901545749984,0.7826622724533081,-0.5160092115402222,-1.1809430825888978,0.8253546953201294,-0.3784239590167999
4,ro-en,-0.27823143902728487,0.8111189007759094,-1.4941462879442147,-1.4941462879442147,-1.4325023562135724,0.8269693851470947,-0.5287137031555176,-1.1982148967639088,0.8733757734298706,-0.36957862973213196
4,et-en,0.8946746792276282,0.3403705954551697,-1.8961201968533388,-1.8961201968533388,-1.5874509975953521,0.7729001641273499,-0.643310546875,-1.3329366632874988,0.8244299292564392,-0.4699900448322296
4,ne-en,0.363624683954147,0.649163544178009,-1.8133843559752614,-1.8133843559752614,-1.6406059502802885,0.6480899453163147,-0.7251275777816772,-1.5326676365850123,0.6156646013259888,-0.6733347773551941
4,si-en,0.2607781665130227,0.6405355334281921,-2.137733732429537,-2.137733732429537,-1.864233864587562,0.8095859289169312,-0.794705867767334,-1.4479696271420053,0.7707405090332031,-0.5604856014251709
5,en-de,0.5452115332744835,0.4453965723514557,-1.2859140451184707,-1.2859140451184707,-1.2715411404340184,0.9062153697013855,-0.400438517332077,-0.8900751947883847,0.8580459952354431,-0.1908266842365265
5,en-zh,-0.6810582520554219,0.5705683827400208,-1.2989316521658438,-1.2989316521658438,-1.2234609948338078,0.856298565864563,-0.3915571868419647,-1.0372571599435438,0.8730278611183167,-0.27314311265945435
5,ru-en,0.5396081067849668,0.4132058024406433,-1.5933176652400056,-1.5933176652400056,-1.5161584179474894,0.9208635091781616,-0.5413496494293213,-1.5003189664903263,0.8775833249092102,-0.5491580367088318
5,ro-en,-1.0459131350512012,0.7235457897186279,-1.4056710915699957,-1.4056710915699957,-1.4590911805715774,0.7606245875358582,-0.5712049007415771,-1.085457565812368,0.8659074306488037,-0.3049115836620331
5,et-en,-0.8728473465675467,0.3797292113304138,-1.7121681308161527,-1.7121681308161527,-1.5869163762334506,0.7148969173431396,-0.666191041469574,-1.3698535986399003,0.8297334313392639,-0.4900187849998474
5,ne-en,-0.6504832788124245,0.5362433791160583,-1.8637059379308245,-1.8637059379308245,-1.6092558321418269,0.7296168208122253,-0.6737067699432373,-1.4954064884061964,0.7197833061218262,-0.6093305945396423
5,si-en,0.41392156784454764,0.6990028619766235,-2.140082396289838,-2.140082396289838,-1.8986853491296043,0.23982810974121094,-1.0432798862457275,-1.6283853072203316,0.4235522747039795,-0.807610273361206
6,en-de,0.482552097121638,0.5836901068687439,-1.22201706056443,-1.22201706056443,-1.213761834161144,0.9425891041755676,-0.3512214720249176,-0.9686041930418556,0.9350302815437317,-0.207150399684906
6,en-zh,-0.698879733477737,0.41232550144195557,-1.552111234544837,-1.552111234544837,-1.306408214500358,0.6988939046859741,-0.5042873620986938,-1.167659380885058,0.7775829434394836,-0.3895624279975891
6,ru-en,0.4903658775923634,0.629468560218811,-1.5703344726964117,-1.5703344726964117,-1.5464496097013187,0.8442986011505127,-0.5901502966880798,-1.462624523522714,0.9119810461997986,-0.5127823352813721
6,ro-en,0.4097277858805379,0.6134017705917358,-1.246620543217175,-1.246620543217175,-1.1665070129145434,0.8906331658363342,-0.3436509370803833,-0.9125804660062606,0.8974894881248474,-0.18855249881744385
6,et-en,-0.42568496950614104,0.4336272180080414,-1.5963246640491298,-1.5963246640491298,-1.404471350225582,0.8888636231422424,-0.4871373772621155,-1.0205578161334061,0.9020063281059265,-0.2515321373939514
6,ne-en,-0.7363345080425878,0.4172894060611725,-1.9174261641208936,-1.9174261641208936,-1.7886183461280463,0.3777729272842407,-0.9220618605613708,-1.6586871934329048,0.3519152104854584,-0.8544462323188782
6,si-en,-0.5994677937439544,0.521083414554596,-2.029109316648981,-2.029109316648981,-1.792790740980687,0.4183005094528198,-0.9083542227745056,-1.2988740746185605,0.7009071111679077,-0.4989616274833679
7,en-de,0.5276025416534194,0.7122175693511963,-1.1315245547532913,-1.1315245547532913,-1.3618946445688667,0.9466792345046997,-0.43846505880355835,-0.9684603900165216,0.9704325199127197,-0.19290319085121155
7,en-zh,0.5155365976512989,0.7056050896644592,-1.1284089039095238,-1.1284089039095238,-1.2269915082845402,0.9194850325584412,-0.368400901556015,-0.9872080342072016,0.89446622133255,-0.23453828692436218
7,ru-en,-1.759358154118459,0.609235942363739,-1.2618415162220327,-1.2618415162220327,-1.1636903549285977,0.8382110595703125,-0.3629297912120819,-0.7428148173865337,0.8119057416915894,-0.12092658877372742
7,ro-en,-0.9051030443126816,0.762467086315155,-1.6557281845388627,-1.6557281845388627,-1.6211152723370037,0.6368483304977417,-0.7179298400878906,-1.31976158781586,0.8428823351860046,-0.45470401644706726
7,et-en,-0.07950703550823895,0.35444745421409607,-1.6387983474604986,-1.6387983474604986,-1.3997389341641644,0.890970766544342,-0.48345503211021423,-1.1437650382026634,0.880445122718811,-0.3340809643268585
7,ne-en,-0.42557312211193743,0.678954005241394,-1.6799153712911257,-1.6799153712911257,-1.4043883843612033,0.6293938159942627,-0.590875506401062,-1.2324649230282834,0.6293175220489502,-0.48775193095207214
7,si-en,-0.420256282103797,0.6326499581336975,-1.922869950713984,-1.922869950713984,-1.7444757706529934,0.6894027590751648,-0.7709243297576904,-1.2527535288333103,0.9171096086502075,-0.3848082721233368
8,en-de,0.572117116273999,0.593034029006958,-1.080363332116693,-1.080363332116693,-0.9980210727807829,0.9224511981010437,-0.22983214259147644,-0.8143906468526877,0.9503631591796875,-0.10848909616470337
8,en-zh,-0.2807083408534348,0.5463609099388123,-1.5752409853356508,-1.5752409853356508,-1.5014459585090498,0.8536180853843689,-0.5594203472137451,-1.223377869202042,0.8167895078659058,-0.40731093287467957
8,ru-en,0.864110301930937,0.8185286521911621,-1.301430845368422,-1.301430845368422,-1.2205353286978418,0.9183498024940491,-0.3649812638759613,-0.9658090945589799,0.9416309595108032,-0.20283308625221252
8,ro-en,0.009572497187643969,0.7880397439002991,-1.2544915924872067,-1.2544915924872067,-1.215611819364531,0.9609376788139343,-0.3449920117855072,-0.7957265681144741,0.9728738069534302,-0.08828642964363098
8,et-en,-1.3842346969914108,0.3041260242462158,-1.701682211926658,-1.701682211926658,-1.4717198153206184,0.7138523459434509,-0.5974909663200378,-1.207314922068107,0.8086678385734558,-0.4009218215942383
8,ne-en,-0.20293141000783096,0.5438653826713562,-1.6079466681832892,-1.6079466681832892,-1.3599265977648656,0.6151444315910339,-0.5698981285095215,-1.1121318125824389,0.7070600986480713,-0.38445502519607544
8,si-en,1.5158088910849976,0.7392461895942688,-1.7813862549232393,-1.7813862549232393,-1.7368444960821081,0.8071104884147644,-0.7192625403404236,-1.191251124535246,0.9556872248649597,-0.3324757516384125
9,en-de,0.14432092337865085,0.5569080114364624,-1.2463721513636872,-1.2463721513636872,-1.2699456184233475,0.931937038898468,-0.3891925513744354,-1.0236552822660525,0.9234329462051392,-0.24481996893882751
9,en-zh,-1.5195992417092743,0.4623490273952484,-1.3446370530986678,-1.3446370530986678,-1.1761752383217563,0.8808497190475464,-0.3533652722835541,-0.977254249781843,0.8521557450294495,-0.24549022316932678
