System,Utterance,H:pyr,H:resp,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
36,M23,0.206,0.6,0.33840691387224453,0.4298709664308229,0.4024691358024691,0.2169576059850374,-0.4595613303990113,-0.6324265331586941,0.19012345679012344,0.3925925925925926,0.08977556109725686,16.39500861935397,0.35840053213887496,0.6083059310913086,0.18126079798985137
36,M24,0.706,0.4,0.6029387482213362,0.623117030934429,0.5234567901234568,0.33915211970074816,-0.32320365758430614,-0.5450500788589164,0.3037037037037037,0.5209876543209877,0.1920199501246883,26.67727635660602,0.37701262479607855,0.6807921528816223,0.28612184456479617
36,M25,0.441,0.4,0.4773995888470579,0.5604928254224847,0.4469135802469136,0.2593516209476309,-0.3922349960351774,-0.5525273689728084,0.2716049382716049,0.4567901234567901,0.18204488778054864,30.586143076178367,0.32231797182996025,0.6237999200820923,0.18447459490170012
36,M26,0.353,0.6,0.5270634221163656,0.591225789558611,0.49135802469135803,0.2967581047381546,-0.36614387364110906,-0.5484886884604082,0.30864197530864196,0.47901234567901235,0.19950124688279303,28.864777277957916,0.3484581922933293,0.6509324908256531,0.22386971953238138
36,M27,0.529,0.4,0.5039424265863003,0.5744640482027544,0.4444444444444444,0.2892768079800499,-0.37828413944868433,-0.5389316900941418,0.254320987654321,0.4567901234567901,0.18703241895261846,30.764621463078328,0.34870202460631666,0.6406879425048828,0.17845710611025148
36,M28,0.529,0.6,0.5097144624797008,0.5641093053096886,0.47160493827160493,0.314214463840399,-0.3732909285354712,-0.549563690011966,0.27901234567901234,0.4567901234567901,0.17955112219451372,29.263062603432676,0.357158112633029,0.6423513889312744,0.20699996016084649
36,M29,0.588,0.4,0.5675461157859717,0.6155560128163567,0.4888888888888889,0.314214463840399,-0.33559539291846174,-0.5246449298844188,0.28641975308641976,0.49135802469135803,0.199501246882793,36.95330450202056,0.34227511838401364,0.6566978096961975,0.22678227507059207
36,M30,0.0,0.2,0.07224341793777889,0.3039064574551821,0.0,0.0,-0.34657359027997237,-0.3465735902799724,0.0,0.0,0.0,0.0,0.0,0.19302460551261902,-0.5319743169142792
36,M31,0.588,0.6,0.5106080532004661,0.5689214720643894,0.4691358024691358,0.26433915211970077,-0.3500412144114363,-0.5643624321348082,0.254320987654321,0.47160493827160493,0.16708229426433915,25.10069542450524,0.36976318555228205,0.6299335956573486,0.212943400790015
36,M32,0.324,0.6,0.31954426521771484,0.40730700678759235,0.3975308641975308,0.22443890274314215,-0.48198876183686823,-0.6480407166514124,0.16049382716049382,0.38765432098765434,0.07231920199501247,6.472518670548823,0.34099649684165967,0.5772865414619446,0.1130305428794452
